date,sent
8/19/15,0.081265385
8/20/15,0.034565789
8/21/15,0.041954545
8/22/15,0.069470588
8/23/15,0.044514286
8/24/15,0.046198473
8/25/15,0.056191549
8/26/15,0.059151471
8/27/15,0.055331046
8/28/15,0.045315152
8/29/15,0.036069672
8/30/15,0.013228022
8/31/15,0.05392233
9/1/15,0.059429134
9/2/15,0.036073059
9/3/15,0.096482609
9/4/15,0.004255245
9/5/15,0.085019608
9/6/15,0.0995
9/7/15,0.01174
9/8/15,0.037685393
9/9/15,0.03884778
9/10/15,0.049384937
9/11/15,0.028750678
9/12/15,0.060638554
9/13/15,0.063607843
9/14/15,0.05269697
9/15/15,0.06252381
9/16/15,0.076041667
9/17/15,0.047930556
9/18/15,0.057366738
9/19/15,0.035212121
9/20/15,0.036433526
9/21/15,0.058119342
9/22/15,0.09209854
9/23/15,0.049152632
9/24/15,0.022714744
9/25/15,0.044741419
9/26/15,0.028924883
9/27/15,0.008269697
9/28/15,0.056380184
9/29/15,0.04416122
9/30/15,0.022750973
10/1/15,0.034952802
10/2/15,0.036874036
10/3/15,0.060353659
10/4/15,0.056302632
10/5/15,0.047358824
10/6/15,0.047684647
10/7/15,0.021525114
10/8/15,0.041212844
10/9/15,0.074380952
10/10/15,0.095415584
10/11/15,0.057632653
10/12/15,0.053490741
10/13/15,0.095701493
10/14/15,0.028927632
10/15/15,0.049881384
10/16/15,0.049021378
10/17/15,0.098215909
10/18/15,0.024696262
10/19/15,0.067380282
10/20/15,0.077514825
10/21/15,0.038285714
10/22/15,0.109700736
10/23/15,0.099183889
10/24/15,0.067466667
10/25/15,0.060666667
10/26/15,0.089667683
10/27/15,0.111465066
10/28/15,-0.018081905
10/29/15,0.006806593
10/30/15,0.077928205
10/31/15,0.036034965
11/1/15,0.054097345
11/2/15,0.048521739
11/3/15,0.090408046
11/4/15,0.072357778
11/5/15,0.040888298
11/6/15,0.06299187
11/7/15,0.069954248
11/8/15,0.052534884
11/9/15,0.050616099
11/10/15,0.079993569
11/11/15,0.075087028
11/12/15,0.049432243
11/13/15,0.023334165
11/14/15,0.051559701
11/15/15,0.066719298
11/16/15,0.013477366
11/17/15,0.066975275
11/18/15,0.078619154
11/19/15,0.075409605
11/20/15,0.023994667
11/21/15,0.068381679
11/22/15,0.057549618
11/23/15,0.071103448
11/24/15,0.081428571
11/25/15,0.003110553
11/26/15,0.076072115
11/27/15,0.068542373
11/28/15,0.066547945
11/29/15,0.06279375
11/30/15,0.091404175
12/1/15,0.076141732
12/2/15,0.024686147
12/3/15,0.04886445
12/4/15,0.07437218
12/5/15,0.054840336
12/6/15,0.052030928
12/7/15,0.051473016
12/8/15,0.097269841
12/9/15,0.056748466
12/10/15,0.0544375
12/11/15,0.089450801
12/12/15,0.083684932
12/13/15,0.023070513
12/14/15,0.029810345
12/15/15,0.066434402
12/16/15,0.052515504
12/17/15,0.041835294
12/18/15,0.03965618
12/19/15,0.061683333
12/20/15,0.0263125
12/21/15,0.063380368
12/22/15,0.060354015
12/23/15,0.057992288
12/24/15,0.068505882
12/25/15,0.070925926
12/26/15,0.065242991
12/27/15,0.047666667
12/28/15,0.10445229
12/29/15,0.103921516
12/30/15,0.081669211
12/31/15,0.080278607
1/1/16,0.053896825
1/2/16,0.063945946
1/3/16,0.063240566
1/4/16,0.044696923
1/5/16,0.046042969
1/6/16,0.041566191
1/7/16,0.035066265
1/8/16,0.033702128
1/9/16,0.049243478
1/10/16,0.055432692
1/11/16,0.077348348
1/12/16,0.061866667
1/13/16,0.026602007
1/14/16,0.050210131
1/15/16,0.056445833
1/16/16,0.088525424
1/17/16,0.053173228
1/18/16,0.061188776
1/19/16,0.073798834
1/20/16,0.07241087
1/21/16,0.077557576
1/22/16,0.048563333
1/23/16,0.096827957
1/24/16,0.054177215
1/25/16,0.086047297
1/26/16,0.004335938
1/27/16,0.049899522
1/28/16,0.055406321
1/29/16,0.02801232
1/30/16,0.076342373
1/31/16,0.043533333
2/1/16,0.041909938
2/2/16,0.06407772
2/3/16,0.059496587
2/4/16,0.03422049
2/5/16,0.03835689
2/6/16,0.040412162
2/7/16,0.061310345
2/8/16,0.03869774
2/9/16,0.025550095
2/10/16,0.06061657
2/11/16,0.074747495
2/12/16,0.078636086
2/13/16,0.051349345
2/14/16,0.074192308
2/15/16,0.080402299
2/16/16,0.058653266
2/17/16,0.028926396
2/18/16,0.053736648
2/19/16,0.04318797
2/20/16,0.059573964
2/21/16,0.052974359
2/22/16,0.07362818
2/23/16,0.037329975
2/24/16,0.0277
2/25/16,0.069242105
2/26/16,0.030724242
2/27/16,0.080453125
2/28/16,0.083255319
2/29/16,0.0487543
3/1/16,0.045935028
3/2/16,0.045009646
3/3/16,0.038421801
3/4/16,0.017975741
3/5/16,0.04560989
3/6/16,0.026391534
3/7/16,0.032467422
3/8/16,0.03612532
3/9/16,0.064321063
3/10/16,0.047050761
3/11/16,-0.050255714
3/12/16,0.057772727
3/13/16,0.085855072
3/14/16,-0.003183432
3/15/16,0.083979821
3/16/16,0.024360856
3/17/16,0.046122837
3/18/16,0.039447284
3/19/16,0.064672727
3/20/16,0.073516854
3/21/16,0.028482024
3/22/16,0.020508121
3/23/16,0.020646809
3/24/16,0.058693267
3/25/16,0.04573913
3/26/16,0.071906542
3/27/16,0.100538462
3/28/16,0.048357576
3/29/16,0.086334906
3/30/16,0.04093287
3/31/16,0.031287879
